FirstName;LastName;DateOfBirth;Country;Goals;Assists;Club;League;MarketValue
Robert;Lewandowski;21.08.1988;Poland;2;0;F.C. Barcelona;La liga;50000000
Lionel;Messi;24.06.1987;Argentina;1;3;PSG;Lique 1;75000000
Cristiano;Ronaldo ;05.02.1985;Portugal;4;0;Manchester United;Premier League;40000000
Kylian;Mbappe;20.12.1998;France;1;2;PSG;Lique 1;160000000
;Richarlison;10.07.1997;Brazil;1;0;Tottenham;Premier League;35000000
Lionel;Messi;24.06.1987;Argentina;1;0;PSG;Lique 1;75000000
Lionel;Messi;24.06.1987;Argentina;1;0;PSG;Lique 1;75000000
Lionel;Messi;24.06.1987;Argentina;1;0;PSG;Lique 1;75000000
Cristiano;Ronaldo ;05.02.1985;Portugal;0;1;Manchester United;Premier League;40000000
Cristiano;Ronaldo ;05.02.1985;Portugal;2;0;Manchester United;Premier League;40000000
Kylian;Mbappe;20.12.1998;France;1;0;PSG;Lique 1;160000000
Kylian;Mbappe;20.12.1998;France;1;0;PSG;Lique 1;160000000
Kylian;Mbappe;20.12.1998;France;1;0;PSG;Lique 1;160000000
Kylian;Mbappe;20.12.1998;France;1;2;PSG;Lique 1;160000000
Kylian;Mbappe;20.12.1998;France;1;2;PSG;Lique 1;160000000
Kylian;Mbappe;20.12.1998;France;1;1;PSG;Lique 1;160000000
Karim;Benzema;19.12.1987;France;3;0;Real Madrid;La liga;60000000
Harry;Kane;28.07.1993;England;2;3;Tottenham;Premier League ;100000000
Marcus;Rashford;31.07.1997;England;5;4;Manchester United;Premier League;70000000
;Neymar;05.02.1992;Brazil;4;4;PSG;Lique 1;80000000
Ousmanne;Dembele;15.05.1997;France;2;2;F.C. Barcelona;La liga;55000000
Robert;Lewandowski;21.08.1988;Poland;1;0;F.C. Barcelona;La liga;50000000
Robert;Lewandowski;21.08.1988;Poland;1;0;F.C. Barcelona;La liga;50000000
Robert;Lewandowski;21.08.1988;Poland;0;2;F.C. Barcelona;La liga;50000000
Robert;Lewandowski;21.08.1988;Poland;2;0;F.C. Barcelona;La liga;50000000
Robert;Lewandowski;21.08.1988;Poland;1;0;F.C. Barcelona;La liga;50000000
Cristiano;Ronaldo ;05.02.1985;Portugal;3;0;Manchester United;Premier League;40000000
Cristiano;Ronaldo ;05.02.1985;Portugal;3;0;Manchester United;Premier League;40000000
Cristiano;Ronaldo ;05.02.1985;Portugal;2;1;Manchester United;Premier League;40000000
Kylian;Mbappe;20.12.1998;France;1;0;PSG;Lique 1;160000000
Kylian;Mbappe;20.12.1998;France;1;0;PSG;Lique 1;160000000
Kylian;Mbappe;20.12.1998;France;1;0;PSG;Lique 1;160000000
Kylian;Mbappe;20.12.1998;France;1;4;PSG;Lique 1;160000000
